GEOmeID,NAME,MedianIncome
0500000US34003,"Bergen County, New Jersey",116709
0500000US34005,"Burlington County, New Jersey",102532
0500000US34007,"Camden County, New Jersey",83763
0500000US34009,"Cape May County, New Jersey",84364
0500000US34011,"Cumberland County, New Jersey",64908
0500000US34013,"Essex County, New Jersey",80463
0500000US34015,"Gloucester County, New Jersey",97474
0500000US34017,"Hudson County, New Jersey",89272
0500000US34019,"Hunterdon County, New Jersey",137275
0500000US34021,"Mercer County, New Jersey",96152
0500000US34023,"Middlesex County, New Jersey",105055
0500000US34025,"Monmouth County, New Jersey",118008
0500000US34027,"Morris County, New Jersey",134579
0500000US34029,"Ocean County, New Jersey",85464
0500000US34031,"Passaic County, New Jersey",82825
0500000US34033,"Salem County, New Jersey",87294
0500000US34035,"Somerset County, New Jersey",142092
0500000US34037,"Sussex County, New Jersey",110785
0500000US34039,"Union County, New Jersey",101146
0500000US34041,"Warren County, New Jersey",100532
0500000US35001,"Bernalillo County, New Mexico",68372
0500000US35013,"Doña Ana County, New Mexico",56451
0500000US35025,"Lea County, New Mexico",55736
0500000US35031,"McKinley County, New Mexico",40108
0500000US35035,"Otero County, New Mexico",50762
0500000US35043,"Sandoval County, New Mexico",82026
0500000US35045,"San Juan County, New Mexico",57324
0500000US35049,"Santa Fe County, New Mexico",78731
0500000US35061,"Valencia County, New Mexico",54665
0500000US36001,"Albany County, New York",81335
0500000US36005,"Bronx County, New York",46838
0500000US36007,"Broome County, New York",63876
0500000US36009,"Cattaraugus County, New York",54250
0500000US36011,"Cayuga County, New York",66166
0500000US36013,"Chautauqua County, New York",55234
0500000US36015,"Chemung County, New York",59617
0500000US36019,"Clinton County, New York",62717
0500000US36027,"Dutchess County, New York",96824
0500000US36029,"Erie County, New York",70492
0500000US36045,"Jefferson County, New York",61512
0500000US36047,"Kings County, New York",76912
0500000US36053,"Madison County, New York",74125
0500000US36055,"Monroe County, New York",73211
0500000US36059,"Nassau County, New York",141568
0500000US36061,"New York County, New York",101078
0500000US36063,"Niagara County, New York",65875
0500000US36065,"Oneida County, New York",61118
0500000US36067,"Onondaga County, New York",74704
0500000US36069,"Ontario County, New York",79450
0500000US36071,"Orange County, New York",94364
0500000US36075,"Oswego County, New York",70076
0500000US36079,"Putnam County, New York",122777
0500000US36081,"Queens County, New York",81929
0500000US36083,"Rensselaer County, New York",84278
0500000US36085,"Richmond County, New York",95543
0500000US36087,"Rockland County, New York",106589
0500000US36089,"St. Lawrence County, New York",56872
0500000US36091,"Saratoga County, New York",94330
0500000US36093,"Schenectady County, New York",74969
0500000US36101,"Steuben County, New York",64238
0500000US36103,"Suffolk County, New York",124045
0500000US36105,"Sullivan County, New York",69453
0500000US36109,"Tompkins County, New York",67247
0500000US36111,"Ulster County, New York",85878
0500000US36113,"Warren County, New York",73802
0500000US36117,"Wayne County, New York",73065
0500000US36119,"Westchester County, New York",114457
0500000US37001,"Alamance County, North Carolina",65633
0500000US37019,"Brunswick County, North Carolina",76221
0500000US37021,"Buncombe County, North Carolina",71525
0500000US37023,"Burke County, North Carolina",53739
0500000US37025,"Cabarrus County, North Carolina",85810
0500000US37027,"Caldwell County, North Carolina",55766
0500000US37031,"Carteret County, North Carolina",78256
0500000US37035,"Catawba County, North Carolina",64214
0500000US37037,"Chatham County, North Carolina",97219
0500000US37045,"Cleveland County, North Carolina",62186
0500000US37049,"Craven County, North Carolina",59399
0500000US37051,"Cumberland County, North Carolina",61643
0500000US37057,"Davidson County, North Carolina",63189
0500000US37063,"Durham County, North Carolina",81545
0500000US37067,"Forsyth County, North Carolina",65062
0500000US37069,"Franklin County, North Carolina",70548
0500000US37071,"Gaston County, North Carolina",66906
0500000US37081,"Guilford County, North Carolina",65413
0500000US37085,"Harnett County, North Carolina",70664
0500000US37089,"Henderson County, North Carolina",61974
0500000US37097,"Iredell County, North Carolina",85298
0500000US37101,"Johnston County, North Carolina",79592
0500000US37105,"Lee County, North Carolina",60140
0500000US37109,"Lincoln County, North Carolina",77776
0500000US37119,"Mecklenburg County, North Carolina",84593
0500000US37125,"Moore County, North Carolina",78057
0500000US37127,"Nash County, North Carolina",66121
0500000US37129,"New Hanover County, North Carolina",79547
0500000US37133,"Onslow County, North Carolina",67597
0500000US37135,"Orange County, North Carolina",86381
0500000US37141,"Pender County, North Carolina",71487
0500000US37147,"Pitt County, North Carolina",59946
0500000US37151,"Randolph County, North Carolina",56310
0500000US37155,"Robeson County, North Carolina",40996
0500000US37157,"Rockingham County, North Carolina",59434
0500000US37159,"Rowan County, North Carolina",65904
0500000US37161,"Rutherford County, North Carolina",47557
0500000US37167,"Stanly County, North Carolina",65456
0500000US37171,"Surry County, North Carolina",58291
0500000US37179,"Union County, North Carolina",98215
0500000US37183,"Wake County, North Carolina",102918
0500000US37191,"Wayne County, North Carolina",55461
0500000US37193,"Wilkes County, North Carolina",47022
0500000US37195,"Wilson County, North Carolina",51247
0500000US38015,"Burleigh County, North Dakota",85172
0500000US38017,"Cass County, North Dakota",73742
0500000US38035,"Grand Forks County, North Dakota",72536
0500000US38101,"Ward County, North Dakota",72370
0500000US39003,"Allen County, Ohio",66891
0500000US39007,"Ashtabula County, Ohio",57577
0500000US39013,"Belmont County, Ohio",56361
0500000US39017,"Butler County, Ohio",80135
0500000US39023,"Clark County, Ohio",57910
0500000US39025,"Clermont County, Ohio",81173
0500000US39029,"Columbiana County, Ohio",53455
0500000US39035,"Cuyahoga County, Ohio",61862
0500000US39041,"Delaware County, Ohio",126513
0500000US39043,"Erie County, Ohio",61648
0500000US39045,"Fairfield County, Ohio",84759
0500000US39049,"Franklin County, Ohio",71680
0500000US39055,"Geauga County, Ohio",99305
0500000US39057,"Greene County, Ohio",83866
0500000US39061,"Hamilton County, Ohio",68519
0500000US39063,"Hancock County, Ohio",70736
0500000US39085,"Lake County, Ohio",72620
0500000US39089,"Licking County, Ohio",75976
0500000US39093,"Lorain County, Ohio",75461
0500000US39095,"Lucas County, Ohio",60426
0500000US39099,"Mahoning County, Ohio",51738
0500000US39101,"Marion County, Ohio",53995
0500000US39103,"Medina County, Ohio",89647
0500000US39109,"Miami County, Ohio",75366
0500000US39113,"Montgomery County, Ohio",62450
0500000US39119,"Muskingum County, Ohio",56654
0500000US39133,"Portage County, Ohio",73220
0500000US39139,"Richland County, Ohio",56664
0500000US39141,"Ross County, Ohio",60666
0500000US39145,"Scioto County, Ohio",52159
0500000US39151,"Stark County, Ohio",63145
0500000US39153,"Summit County, Ohio",69577
0500000US39155,"Trumbull County, Ohio",51016
0500000US39157,"Tuscarawas County, Ohio",60604
0500000US39159,"Union County, Ohio",101968
0500000US39165,"Warren County, Ohio",107541
0500000US39169,"Wayne County, Ohio",69101
0500000US39173,"Wood County, Ohio",72947
0500000US40017,"Canadian County, Oklahoma",86061
0500000US40027,"Cleveland County, Oklahoma",74495
0500000US40031,"Comanche County, Oklahoma",56706
0500000US40037,"Creek County, Oklahoma",55857
0500000US40101,"Muskogee County, Oklahoma",52484
0500000US40109,"Oklahoma County, Oklahoma",65948
0500000US40119,"Payne County, Oklahoma",56371
0500000US40125,"Pottawatomie County, Oklahoma",56579
0500000US40131,"Rogers County, Oklahoma",70200
0500000US40143,"Tulsa County, Oklahoma",65479
0500000US40145,"Wagoner County, Oklahoma",80372
0500000US41003,"Benton County, Oregon",73047
0500000US41005,"Clackamas County, Oregon",100675
0500000US41017,"Deschutes County, Oregon",97163
0500000US41019,"Douglas County, Oregon",60889
0500000US41029,"Jackson County, Oregon",71666
0500000US41033,"Josephine County, Oregon",64170
0500000US41035,"Klamath County, Oregon",52547
0500000US41039,"Lane County, Oregon",70374
0500000US41043,"Linn County, Oregon",70548
0500000US41047,"Marion County, Oregon",73417
0500000US41051,"Multnomah County, Oregon",83583
0500000US41053,"Polk County, Oregon",80328
0500000US41059,"Umatilla County, Oregon",60582
0500000US41067,"Washington County, Oregon",103713
0500000US41071,"Yamhill County, Oregon",89160
